trip_id,0
1179462,
152567,
1289340,['1126177' '1312299' '1380282']
329072,
1009349,
1398707,
1587125,['1027672' '1133895' '1140346' '1270238']
1195414,
1360865,
1419557,
1012600,
59609802_1.026012,
194023,
1411797,
204200,
1362001,
1409513,
1060125,
1028013,
1202655,
129917,
300183,['1174863' '1239747' '1366515' '1453207' '1480604']
1234311,
29550387#1_1.029997,['29550387#1_1.024980']
1440004,['216799']
1054481,
1559884,
1329437,
1046294,
1152676,['1160093' '1331437' '368835']
1553976,
1270231,
352345,
1371307,['1225567']
1504689,
107793,['1493336']
1230036,
1532035,
1459906,
24491335#2_1.025000,['24491335#2_1.023875']
1013849,
1145923,
1010797,
122615,
152703,
1461221,
160155,
1559869,['1182863']
29550387#1_2.026866,
1054253,
29550387#1_2.027327,
1357591,['1178031' '15548' '1577921']
1574247,
1098517,
451172,
59609802_1.026949,
1366753,
1376696,
107681,
1396306,
1315588,
18730,
1521218,
128338,
1206153,
1547598,
1105357,['1578299']
1206620,
1498519,
166584,
1151229,
57868214#1_2.025970,
1369531,
1406188,['1029926']
1010751,['1469173']
1364299,['1165026' '135593' '1553467']
1230442,
1072909,
130519,['1512189']
59609802_1.026968,
24491335#2_1.032194,
1325297,['1494577']
1234440,
1525535,
176612,
1503660,
1188539,
1042690,
1125914,
1150446,
1357354,
1441399,
1456809,
1070022,
1028705,['1588682']
1072598,['103211' '108465' '1206092' '1370614' '1447828']
1211937,
1199111,
1467542,
1429835,
1082267,['1288365' '1324229' '168978' '251142']
1590017,
102955,
29550387#1_2.027282,
1463659,
1130665,['1305823' '1477670' '25085']
57868214#1_1.029621,['57868214#1_1.027033' '57868214#1_2.025701' '57868214#1_2.026106']
1116315,
1181376,
1522509,['1062406' '1166602' '1344665' '1497225' '1509450' '1543534' '15737']
29550387#1_1.026954,
1407716,
1323216,
1322597,
118862,['1300444']
110737,
30642,
1174601,
59609802_1.022742,
1451526,
1395566,
1098717,['1032438' '1397185' '237802' '425360']
24491335#2_1.023477,
29550387#1_1.024050,
1404564,
1077012,
305014,
57868214#1_1.025201,
1136126,['1099775']
1045611,
104592,
1444904,['1413290' '1574408' '558083']
1159222,
1195498,
103618,
1117259,
364488,
194712,
1340091,
59609802_1.030018,
1586795,
1563539,
1480918,
1120436,
1310914,
1177286,
29550387#1_1.030876,
1327405,['1009639' '1032789' '1273945' '1488065' '1508956']
1504996,['1040401']
29550387#1_1.027297,
1518499,['1195212' '1484748']
1259536,
1215807,
1533656,
1247055,['1361164']
57868214#1_1.025182,
1157097,
342534,['1292871']
1591713,
226159,['1011237' '1303051' '143269' '146965']
1021414,
1175764,
1404246,['113099' '1267104' '1316683' '136215' '1573259' '175184' '233815']
24491335#2_1.031099,
1012723,
1254873,
1274814,
203360,
263395,
1577630,['1238303']
1388123,
1454664,
57868214#1_1.029745,
1051757,
1213534,
57868214#1_1.021876,
29550387#1_1.024891,
1259529,
441664,
1200135,
1215423,
1555249,
1303711,
1377730,['113086']
1053190,['1017786' '230042']
1143538,
1296690,
420044,
120039,
