trip_id,0
1179462,['438953']
152567,['1054337']
1289340,['1034835' '257768' '292025']
329072,['109575' '1122649' '1479638' '177245']
1009349,
1398707,['200017']
1587125,"['1029771' '1038072' '1088012' '109342' '1130766' '1185784' '120631'
 '1233272' '1278236' '1311266' '1346648' '1412001' '1430275' '14306'
 '1433967' '1560306' '170125' '234500']"
1195414,"['100011' '102767' '1058921' '1064752' '1106269' '1237698' '1257320'
 '1292468' '1360607' '1392437' '1469683' '1490890' '149686' '1568464'
 '166137' '167353']"
1360865,['1439114' '148903']
1419557,"['1018109' '1061040' '1069131' '1128631' '1240510' '1310158' '134134'
 '1488720' '1513837' '1514447' '156095' '171906' '23960' '479570']"
1012600,
59609802_1.026012,
194023,
1411797,"['100133' '1187959' '125792' '1324462' '1328803' '1373703' '1409458'
 '152201' '1530605' '1546027' '177629' '21076' '228387' '298896']"
204200,
1362001,
1409513,['1155705']
1060125,
1028013,"['1011411' '1026989' '1040706' '1046921' '1064058' '1074649' '1089646'
 '109342' '110032' '1113550' '1114892' '1117626' '1118053' '1125146'
 '113211' '1135419' '114921' '1171061' '1177186' '11795' '1185784'
 '1198488' '1200433' '1202050' '1202131' '120631' '1216759' '1219781'
 '122479' '122610' '1232024' '1233272' '1233374' '1238098' '1245902'
 '1256458' '1263588' '1293214' '1303309' '130512' '1316460' '132065'
 '1346648' '135290' '1356819' '136236' '136352' '1369405' '1373406'
 '1377774' '1395001' '1397031' '13997' '1400732' '1401737' '1404676'
 '1420393' '143974' '1447155' '1466182' '148057' '1486299' '1515969'
 '152604' '1536888' '1553150' '1569225' '1577695' '159529' '161744'
 '166646' '176982' '178538' '187008' '233306' '246198' '255428' '261555'
 '268963' '283081' '308367' '313918' '324147' '389842' '453029']"
1202655,['197667']
129917,
300183,"['1023363' '1048384' '1071174' '1072595' '1074421' '1076364' '1117601'
 '1132692' '1174193' '1276482' '1315629' '1316942' '1322773' '1326946'
 '1344006' '135055' '13728' '1418664' '1429415' '1442344' '1443762'
 '1453752' '1461729' '1465540' '1534128' '1544345' '1544505' '1544571'
 '169046' '187754' '197976' '202970' '209589' '769414']"
1234311,"['1008411' '1021408' '1022003' '1089107' '1089177' '1120203' '1125018'
 '1142166' '1164036' '1176478' '1196004' '1198446' '124228' '1260422'
 '1265783' '1342878' '1344631' '1366353' '1428685' '1443216' '1472300'
 '1475827' '1488030' '1496752' '1506361' '1529562' '158942' '196647'
 '281705' '30043' '31273' '322629' '360136' '466588']"
29550387#1_1.029997,
1440004,"['1004324' '1016959' '1069535' '1104331' '1143675' '1150274' '1174838'
 '1257253' '1261956' '1309901' '1330114' '1352518' '1356593' '1372134'
 '137984' '1381223' '1393264' '1433697' '1444426' '1457794' '1493527'
 '1513837' '1516462' '1555412' '1569697' '1588453' '159269' '171144'
 '187669' '195606' '203613' '235844' '247187' '281348' '431481']"
1054481,
1559884,['1396502' '1519529']
1329437,
1046294,
1152676,['1002869' '1067168' '107187' '1268613' '1277091' '1525773' '1529722']
1553976,
1270231,
352345,
1371307,['1090175' '1267817' '1434663' '190408']
1504689,
107793,
1230036,
1532035,['1099061' '1470980']
1459906,
24491335#2_1.025000,
1013849,['1327496' '1513879' '155921' '1583781' '164919' '215852' '355091']
1145923,['111739' '1507304']
1010797,['118427']
122615,['1141472']
152703,
1461221,['1104316']
160155,
1559869,
29550387#1_2.026866,
1054253,['1201925' '1442059' '1461189']
29550387#1_2.027327,
1357591,
1574247,['309925']
